	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2013-01-01 00:00:00	-0.3	873.0	0	1356998400	301897	15.11	0	1	1
2013-01-01 01:00:00	-0.2	591.7	3600	1357002000	209160	15.11	1	1	1
2013-01-01 02:00:00	-0.5	1134.9	7200	1357005600	397696	15.11	2	1	1
2013-01-01 03:00:00	-0.1	1125.2	10800	1357009200	393729	15.11	3	1	1
2013-01-01 04:00:00	-0.1	1134.9	14400	1357012800	397739	15.11	4	1	1
2013-01-01 05:00:00	1.2	1144.6	18000	1357016400	401964	15.11	5	1	1
2013-01-01 06:00:00	2.2	1173.7	21600	1357020000	414528	15.11	6	1	1
2013-01-01 07:00:00	1.9	1270.7	25200	1357023600	458022	15.11	7	1	1
2013-01-01 08:00:00	1.9	1338.6	28800	1357027200	490640	15.11	8	1	1
2013-01-01 09:00:00	2.2	1231.9	32400	1357030800	440247	15.11	9	1	1
2013-01-01 10:00:00	2.7	1503.5	36000	1357034400	542707	15.11	10	1	1
2013-01-01 11:00:00	2.7	1348.3	39600	1357038000	495739	15.11	11	1	1
2013-01-01 12:00:00	3.0	1377.4	43200	1357041600	510524	15.11	12	1	1
2013-01-01 13:00:00	2.7	1367.7	46800	1357045200	505468	15.11	13	1	1
2013-01-01 14:00:00	2.5	1367.7	50400	1357048800	505381	15.11	14	1	1
2013-01-01 15:00:00	2.2	1425.9	54000	1357052400	535282	15.11	15	1	1
2013-01-01 16:00:00	2.2	1445.3	57600	1357056000	545573	15.11	16	1	1
2013-01-01 17:00:00	2.1	1416.2	61200	1357059600	530146	15.11	17	1	1
2013-01-01 18:00:00	2.1	1387.1	64800	1357063200	515085	15.11	18	1	1
2013-01-01 19:00:00	1.8	1358.0	68400	1357066800	500249	15.11	19	1	1
2013-01-01 20:00:00	1.6	1231.9	72000	1357070400	440099	15.11	20	1	1
2013-01-01 21:00:00	1.3	1348.3	75600	1357074000	495264	15.11	21	1	1
2013-01-01 22:00:00	0.9	1338.6	79200	1357077600	490364	15.11	22	1	1
2013-01-01 23:00:00	0.4	1309.5	82800	1357081200	476084	15.11	23	1	1
2013-01-02 00:00:00	0.1	1299.8	0	1357084800	471377	15.11	0	1	2
2013-01-02 01:00:00	-0.5	1241.6	3600	1357088400	444136	15.11	1	1	2
2013-01-02 02:00:00	-1.0	1231.9	7200	1357092000	439675	15.11	2	1	2
2013-01-02 03:00:00	-1.5	58.2	10800	1357095600	35675	15.11	3	1	2
2013-01-02 04:00:00	-1.7	1581.1	14400	1357099200	493346	15.11	4	1	2
2013-01-02 05:00:00	-2.0	1241.6	18000	1357102800	443965	15.11	5	1	2
2013-01-02 06:00:00	-2.5	58.2	21600	1357106400	35675	15.11	6	1	2
2013-01-02 07:00:00	-2.9	1309.5	25200	1357110000	475633	15.11	7	1	2
2013-01-02 08:00:00	-2.7	1416.2	28800	1357113600	529055	15.11	8	1	2
2013-01-02 09:00:00	-2.1	1241.6	32400	1357117200	443955	15.11	9	1	2
2013-01-02 10:00:00	-2.4	1484.1	36000	1357120800	569046	15.11	10	1	2
2013-01-02 11:00:00	-2.2	1445.3	39600	1357124400	544433	15.11	11	1	2
2013-01-02 12:00:00	-2.3	1474.4	43200	1357128000	575666	15.11	12	1	2
2013-01-02 13:00:00	-2.7	1513.2	46800	1357131600	530463	15.11	13	1	2
2013-01-02 14:00:00	-3.0	1542.3	50400	1357135200	507678	15.11	14	1	2
2013-01-02 15:00:00	-2.5	1571.4	54000	1357138800	495427	15.11	15	1	2
2013-01-02 16:00:00	-3.2	1571.4	57600	1357142400	495319	15.11	16	1	2
2013-01-02 17:00:00	-3.7	1513.2	61200	1357146000	530306	15.11	17	1	2
2013-01-02 18:00:00	-3.4	1425.9	64800	1357149600	534040	15.11	18	1	2
2013-01-02 19:00:00	-3.9	1309.5	68400	1357153200	475547	15.11	19	1	2
2013-01-02 20:00:00	-4.6	1251.3	72000	1357156800	448194	15.11	20	1	2
2013-01-02 21:00:00	-4.5	1251.3	75600	1357160400	448200	15.11	21	1	2
2013-01-02 22:00:00	-4.5	1222.2	79200	1357164000	435025	15.11	22	1	2
2013-01-02 23:00:00	-4.5	1202.8	82800	1357167600	426419	15.11	23	1	2
2013-01-03 00:00:00	-4.5	1164.0	0	1357171200	409632	15.11	0	1	3
2013-01-03 01:00:00	-4.7	1241.6	3600	1357174800	443761	15.11	1	1	3
2013-01-03 02:00:00	-4.4	1241.6	7200	1357178400	443779	15.11	2	1	3
2013-01-03 03:00:00	-4.6	1280.4	10800	1357182000	461686	15.11	3	1	3
2013-01-03 04:00:00	-5.0	1309.5	14400	1357185600	475469	15.11	4	1	3
2013-01-03 05:00:00	-5.0	1328.9	18000	1357189200	484852	15.11	5	1	3
2013-01-03 06:00:00	-6.1	1348.3	21600	1357192800	494306	15.11	6	1	3
2013-01-03 07:00:00	-6.5	1387.1	25200	1357196400	513748	15.11	7	1	3
2013-01-03 08:00:00	-5.0	1445.3	28800	1357200000	544120	15.11	8	1	3
2013-01-03 09:00:00	-3.9	1416.2	32400	1357203600	528923	15.11	9	1	3
2013-01-03 10:00:00	-3.3	1484.1	36000	1357207200	568926	15.11	10	1	3
2013-01-03 11:00:00	-2.5	1503.5	39600	1357210800	541087	15.11	11	1	3
2013-01-03 12:00:00	-2.3	1455.0	43200	1357214400	549594	15.11	12	1	3
2013-01-03 13:00:00	-1.2	1377.4	46800	1357218000	509339	15.11	13	1	3
2013-01-03 14:00:00	-0.9	1435.6	50400	1357221600	539506	15.11	14	1	3
2013-01-03 15:00:00	-1.0	1445.3	54000	1357225200	544632	15.11	15	1	3
2013-01-03 16:00:00	-1.9	1445.3	57600	1357228800	544478	15.11	16	1	3
2013-01-03 17:00:00	-3.0	1416.2	61200	1357232400	529019	15.11	17	1	3
2013-01-03 18:00:00	-2.7	1396.8	64800	1357236000	519026	15.11	18	1	3
2013-01-03 19:00:00	-2.9	1338.6	68400	1357239600	489771	15.11	19	1	3
2013-01-03 20:00:00	-3.1	1396.8	72000	1357243200	518981	15.11	20	1	3
2013-01-03 21:00:00	-3.4	1358.0	75600	1357246800	499323	15.11	21	1	3
2013-01-03 22:00:00	-3.3	1338.6	79200	1357250400	489732	15.11	22	1	3
2013-01-03 23:00:00	-3.8	1590.8	82800	1357254000	491567	15.11	23	1	3
2013-01-04 00:00:00	-4.5	1338.6	0	1357257600	489632	15.11	0	1	4
2013-01-04 01:00:00	-4.2	1387.1	3600	1357261200	513914	15.11	1	1	4
2013-01-04 02:00:00	-3.4	1377.4	7200	1357264800	509065	15.11	2	1	4
2013-01-04 03:00:00	-3.1	1358.0	10800	1357268400	499353	15.11	3	1	4
2013-01-04 04:00:00	-5.8	1319.2	14400	1357272000	480094	15.11	4	1	4
2013-01-04 05:00:00	-2.9	1299.8	18000	1357275600	470992	15.11	5	1	4
2013-01-04 06:00:00	-2.9	1299.8	21600	1357279200	470992	15.11	6	1	4
2013-01-04 07:00:00	-2.9	1338.6	25200	1357282800	489771	15.11	7	1	4
2013-01-04 08:00:00	-1.2	1396.8	28800	1357286400	519234	15.11	8	1	4
